Id;ADC_ADC_Name__c;ADC_Benefit_Type__c;ADC_DME_Fax__c;ADC_DME_Name__c;ADC_DME_Phone__c;ADC_External_ID__c;ADC_Product__c;ADC_State__c;ADC_Valid_Contract_Status__c;ADC_Valid_Dispense_Status__c;ADC_Type__c;JF_State Name;JF_Insurance
7308;Absolute Total Care - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Absolute Total Care - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Absolute Total Care - Centene
2;Aetna;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Aetna_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
1284;Aetna;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Aetna_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
2913;Aetna;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Aetna_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
3755;Aetna;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Aetna_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
6427;Aetna;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Aetna_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
7360;Aetna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Aetna_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna
1336;Aetna Better Health;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Aetna Better Health_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aetna Better Health
64;Allcare Health;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Allcare Health_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Allcare Health
3817;Allcare Health;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Allcare Health_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Allcare Health
